ID	IDOrigin	IDEnd
0	0		1
1	0		3
2	0		8
3	0		11
4	0		25
5	0		29
6	1		2
7	1		3
8	1		4
9	1		7
10	1		8
11	2		4
12	2		7
13	2		14
14	2		21
15	2		22
16	3		4
17	3		5
18	3		24
19	3		29
20	4		5
21	4		21
22	4		24
23	5		24
24	6		7
25	6		8
26	6		10
27	6		12
28	6		31
29	6		32
30	7		8
31	7		12
32	7		14
33	8		10
34	8		11
35	9		10
36	9		11
37	9		27
38	10		11
39	10		27
40	10		32
41	11		25
42	11		27
43	12		13
44	12		14
45	12		23
46	12		31
47	13		14
48	13		23
49	14		22
50	14		23
51	15		16
52	15		18
53	15		22
54	15		23
55	15		31
56	15		33
57	16		17
58	16		18
59	16		19
60	16		21
61	16		22
62	17		19
63	17		21
64	17		24
65	17		28
66	17		29
67	18		19
68	18		20
69	18		30
70	18		33
71	19		20
72	19		28
73	19		30
74	20		30
75	21		22
76	21		24
77	22		23
78	23		31
79	24		29
80	25		26
81	25		27
82	25		28
83	25		29
84	26		27
85	26		28
86	26		30
87	26		32
88	26		33
89	27		32
90	28		29
91	28		30
92	30		33
93	31		32
94	31		33
95	32		33
